Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_002078495	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UC063
GCA_002078615	SSU_3:SSU_5:SSU_1:SSU_2:SSU_4	3:1:1:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UC77
GCA_002078765	SSU_2:SSU_1	5:1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	UC109
GCA_002078855	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UL8
GCA_002078895	SSU_2:SSU_1	5:1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	JM1
GCA_002078915	SSU_2:SSU_1:SSU_3:SSU_4	3:1:1:1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	JM2
GCA_002078935	SSU_1	6	Lactococcus lactis subsp. cremoris	Lactococcus lactis	JM3
GCA_002078955	SSU_2:SSU_1	5:1	Lactococcus lactis subsp. cremoris	Lactococcus lactis	JM4
GCA_002078975	SSU_1:SSU_2:SSU_3:SSU_4	3:1:1:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UC06
GCA_002078995	SSU_1:SSU_2	5:1	Lactococcus lactis subsp. lactis	Lactococcus lactis	UC08
GCA_002079225	SSU_2:SSU_4:SSU_5:SSU_1:SSU_3	2:2:1:1:1	Escherichia coli C	Escherichia coli	C
GCA_002079245	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	3:1:1:1:1	Salmonella enterica	Salmonella enterica	FORC_030
GCA_002079265	SSU_1	5	Rhodococcus sp. BH4	Rhodococcus sp.	BH4
GCA_002079285	SSU_3:SSU_1:SSU_2:SSU_4	2:1:1:1	Lactobacillus paracasei	Lactobacillus paracasei	IIA
GCA_002079305	SSU_1	3	Rhodovulum sp. P5	Rhodovulum sp.	P5
GCA_002079945	SSU_1	1	Parasaccharibacter apium	Parasaccharibacter apium	G7_7_3c
GCA_002079965	SSU_1	2	Xanthomonas citri pv. aurantifolii	Xanthomonas citri	FDC 1561
GCA_002080065	SSU_3:SSU_1:SSU_2:SSU_4	5:4:2:1	Clostridioides difficile	Clostridioides difficile	630 delta erm
GCA_002080125	SSU_1	4	Moraxella catarrhalis	Moraxella catarrhalis	CCRI-195ME
GCA_002080395	SSU_1	3	Campylobacter helveticus	Campylobacter helveticus	ATCC 51209
GCA_002080415	SSU_1	2	Roseovarius mucosus	Roseovarius mucosus	SMR3
GCA_002080435	SSU_1	2	Sphingobium herbicidovorans	Sphingobium herbicidovorans	MH
GCA_002080455	SSU_1	7	Streptomyces sp. Sge12	Streptomyces sp.	Sge12
GCA_002080475	SSU_2:SSU_1:SSU_3	8:2:1	Clostridium formicaceticum	Clostridium formicaceticum	DSM 92
GCA_002081995	SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1	Sporosarcina ureae	Sporosarcina ureae	S204
GCA_002082015	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Sporosarcina ureae	Sporosarcina ureae	P17a
GCA_002082155	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Paenibacillus larvae subsp. pulvifaciens	Paenibacillus larvae	SAG 10367
GCA_002082175	SSU_1	6	Streptomyces violaceoruber	Streptomyces violaceoruber	S21
GCA_002082195	SSU_1:SSU_2	5:1	Streptomyces gilvosporeus	Streptomyces gilvosporeus	F607
GCA_002082215	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Pantoea stewartii subsp. stewartii DC283	Pantoea stewartii	DC283
GCA_002082565	SSU_2:SSU_1:SSU_3	4:1:1	Halomonas sp. GT	Halomonas sp.	GT
GCA_002082585	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Kitasatospora albolonga	Kitasatospora albolonga	YIM 101047
GCA_002082605	SSU_3:SSU_2:SSU_4:SSU_1	4:2:2:1	Kitasatospora aureofaciens	Kitasatospora aureofaciens	DM-1
GCA_002082625	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	JBA13
GCA_002082645	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	CBA7
GCA_002082665	SSU_1	6	Acinetobacter nosocomialis	Acinetobacter nosocomialis	SSA3
GCA_002082685	SSU_3:SSU_1:SSU_2	3:2:1	Acinetobacter baumannii	Acinetobacter baumannii	15A34
GCA_002082705	SSU_2:SSU_1	5:1	Acinetobacter baumannii	Acinetobacter baumannii	15A5
GCA_002082725	SSU_2:SSU_1	5:1	Acinetobacter baumannii	Acinetobacter baumannii	USA2
GCA_002082745	SSU_2:SSU_3:SSU_1	3:2:1	Acinetobacter baumannii	Acinetobacter baumannii	SSA6
GCA_002082765	SSU_1	4	Veillonella atypica	Veillonella atypica	OK5
GCA_002082785	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	HWBA8
GCA_002082805	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	WKA02
GCA_002082825	SSU_2:SSU_1	5:1	Acinetobacter baumannii	Acinetobacter baumannii	USA15
GCA_002082845	SSU_2:SSU_1	5:1	Acinetobacter baumannii	Acinetobacter baumannii	SAA14
GCA_002082865	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	SSA12
GCA_002082885	SSU_1	6	Acinetobacter baumannii	Acinetobacter baumannii	SSMA17
GCA_002085525	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	JE2
GCA_002085605	SSU_1	4	Pseudomonas aeruginosa	Pseudomonas aeruginosa	RIVM-EMC2982
GCA_002085695	SSU_1:SSU_2:SSU_3	4:1:1	Staphylococcus epidermidis	Staphylococcus epidermidis	1457
GCA_002085715	SSU_1	3	Tatlockia micdadei	Tatlockia micdadei	NZ2015
GCA_002085735	SSU_1	3	Tatlockia micdadei	Tatlockia micdadei	NZ2016
GCA_002085755	SSU_2:SSU_1	3:1	Pseudomonas aeruginosa	Pseudomonas aeruginosa	E6130952
GCA_002088995	SSU_1:SSU_5:SSU_2:SSU_3:SSU_4	2:1:1:1:1	Staphylococcus aureus	Staphylococcus aureus	C2406
GCA_002089035	SSU_1	6	Staphylococcus aureus	Staphylococcus aureus	293G
GCA_002089055	SSU_1:SSU_2:SSU_3	4:1:1	Staphylococcus aureus	Staphylococcus aureus	GD5
GCA_002089075	SSU_1	6	Staphylococcus aureus	Staphylococcus aureus	GD705
GCA_002089095	SSU_1	6	Staphylococcus aureus	Staphylococcus aureus	GD1677
GCA_002089115	SSU_1:SSU_2	5:1	Staphylococcus aureus	Staphylococcus aureus	GD1539
GCA_002090195	SSU_2:SSU_3:SSU_5:SSU_1:SSU_6:SSU_4	2:2:1:1:1:1	Klebsiella sp. M5al	Klebsiella sp.	M5al
GCA_002090215	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S63-tet-R
GCA_002090235	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	FH-tet-R
GCA_002090275	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S68-tet-R
GCA_002090295	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S55-tet-R
GCA_002090315	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S91-tet-R
GCA_002090335	SSU_1:SSU_2	5:2	Streptomyces sp. MOE7	Streptomyces sp.	MOE7
GCA_002090355	SSU_5:SSU_3:SSU_1:SSU_2:SSU_4	2:2:1:1:1	Escherichia coli	Escherichia coli	BLR(DE3)
GCA_002091395	SSU_1	2	Candidatus Azobacteroides pseudotrichonymphae	Candidatus Azobacteroides	NA
GCA_002094935	SSU_1	1	Coxiella burnetii	Coxiella burnetii	RSA 439
GCA_002094955	SSU_1:SSU_2	4:2	Streptococcus salivarius	Streptococcus salivarius	ATCC 27945
GCA_002094975	SSU_2:SSU_1:SSU_3	4:1:1	Streptococcus salivarius	Streptococcus salivarius	ATCC 25975
GCA_002094995	SSU_3:SSU_1:SSU_2:SSU_4	3:1:1:1	Streptomyces sp. S8	Streptomyces sp.	S8
GCA_002095975	SSU_1:SSU_2	1:1	Microcystis aeruginosa PCC 7806SL	Microcystis aeruginosa	PCC 7806SL
GCA_002095995	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S4-tet-R
GCA_002096015	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S34-tet-R
GCA_002096035	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	S12-tet-R
GCA_002096055	SSU_1	2	Cnuibacter physcomitrellae	Cnuibacter physcomitrellae	XA(T)
GCA_002096095	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1:1	Bacillus subtilis	Bacillus subtilis	Bs-115
GCA_002097535	SSU_6:SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1:1:1	Halobacillus mangrovi	Halobacillus mangrovi	KTB 131
GCA_002097595	SSU_1:SSU_2:SSU_3	4:1:1	Staphylococcus aureus	Staphylococcus aureus	M92
GCA_002097715	SSU_3:SSU_1:SSU_2	4:1:1	[Pseudomonas] mesoacidophila	[Pseudomonas] mesoacidophila	ATCC 31433
GCA_002101275	SSU_1	6	Listeria monocytogenes	Listeria monocytogenes	H34
GCA_002101335	SSU_5:SSU_1:SSU_2:SSU_6:SSU_3:SSU_4	1:1:1:1:1:1	Staphylococcus lutrae	Staphylococcus lutrae	ATCC 700373
GCA_002101355	SSU_1:SSU_2	2:1	Campylobacter jejuni	Campylobacter jejuni	YH002
GCA_002101375	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Sporosarcina ureae	Sporosarcina ureae	P8
GCA_002101395	SSU_1:SSU_5:SSU_2:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Pantoea alhagi	Pantoea alhagi	LTYR-11Z
GCA_002104335	SSU_1	2	Campylobacter cuniculorum DSM 23162 = LMG 24588	Campylobacter cuniculorum	LMG 24588
GCA_002104575	SSU_4:SSU_8:SSU_7:SSU_5:SSU_1:SSU_2:SSU_6:SSU_3	5:2:2:1:1:1:1:1	Bacillus mycoides	Bacillus mycoides	Gnyt1
GCA_002104595	SSU_1	4	Pseudomonas aeruginosa	Pseudomonas aeruginosa	PASGNDM699
GCA_002104615	SSU_1	4	Pseudomonas aeruginosa	Pseudomonas aeruginosa	PASGNDM345
GCA_002105535	SSU_1	2	Magnetospirillum sp. ME-1	Magnetospirillum sp.	ME-1
GCA_002105555	SSU_1	2	Paracoccus contaminans	Paracoccus contaminans	RKI 16-01929T=LMG 29738T=CCM 8701T=CIP 111112T
GCA_002105595	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_4	2:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	9D-6
GCA_002105615	SSU_2:SSU_1:SSU_3	3:2:1	Listeria monocytogenes	Listeria monocytogenes	CFSAN028538
GCA_002105635	SSU_1:SSU_3:SSU_2:SSU_4	2:2:1:1	Listeria monocytogenes	Listeria monocytogenes	CFSAN022990
GCA_002105655	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	2:1:1:1:1	Listeria monocytogenes	Listeria monocytogenes	MOD1_LS152
GCA_002105675	SSU_1:SSU_2	4:2	Listeria monocytogenes	Listeria monocytogenes	PNUSAL000144
GCA_002105695	SSU_1:SSU_2:SSU_3	4:1:1	Listeria monocytogenes	Listeria monocytogenes	PNUSAL000096
GCA_002105715	SSU_1:SSU_2	5:1	Listeria monocytogenes	Listeria monocytogenes	CFSAN004330
GCA_002105735	SSU_2:SSU_3:SSU_5:SSU_1:SSU_4	2:2:1:1:1	Escherichia coli	Escherichia coli	CFSAN051542
GCA_002105755	SSU_1	1	Mycobacterium colombiense CECT 3035	Mycobacterium colombiense	CECT 3035
GCA_002105775	SSU_2:SSU_1	2:1	Cellulosimicrobium sp. TH-20	Cellulosimicrobium sp.	TH-20
GCA_002108455	SSU_1:SSU_2	2:1	Fibrella sp. ES10-3-2-2	Fibrella sp.	ES10-3-2-2
GCA_002109325	SSU_6:SSU_5:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Sporosarcina ureae	Sporosarcina ureae	P32a
GCA_002109345	SSU_1	1	Coxiella burnetii	Coxiella burnetii	RSA439
GCA_002109365	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Sporosarcina sp. P37	Sporosarcina sp.	P37
GCA_002109385	SSU_11:SSU_5:SSU_9:SSU_8:SSU_13:SSU_10:SSU_1:SSU_2:SSU_14:SSU_6:SSU_7:SSU_3:SSU_12:SSU_4	2:1:1:1:1:1:1:1:1:1:1:1:1:1	Bacillus krulwichiae	Bacillus krulwichiae	AM31D
GCA_002109405	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	JBE490
GCA_002109425	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	LP2
GCA_002110945	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2008724734
GCA_002110965	SSU_2:SSU_1	3:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2011756295
GCA_002111005	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2013746878
GCA_002111025	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2013833055
GCA_002111045	SSU_1:SSU_2	2:2	Burkholderia pseudomallei	Burkholderia pseudomallei	3000015237
GCA_002111085	SSU_2:SSU_1	3:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2002721184
GCA_002111105	SSU_1	1	Burkholderia pseudomallei	Burkholderia pseudomallei	2002734728
GCA_002111125	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2008724860
GCA_002111145	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2010007509
GCA_002111165	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2011756189
GCA_002111205	SSU_1:SSU_2	3:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2013746777
GCA_002111225	SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2013746811
GCA_002111245	SSU_1:SSU_2:SSU_3	2:1:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2013746877
GCA_002111265	SSU_2:SSU_1	3:1	Burkholderia pseudomallei	Burkholderia pseudomallei	2013833057
GCA_002111285	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	3000047530
GCA_002111305	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	3000465972
GCA_002111325	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2002721123
GCA_002111345	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2002721171
GCA_002111365	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	2008724758
GCA_002111385	SSU_1	4	Burkholderia pseudomallei	Burkholderia pseudomallei	3000015486
GCA_002111405	SSU_1	4	Streptococcus suis	Streptococcus suis	SC19
GCA_002113805	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Bacillus vallismortis	Bacillus vallismortis	NBIF-001
GCA_002113825	SSU_1	2	Prosthecochloris sp. HL-130-GSB	Prosthecochloris sp.	HL-130-GSB
GCA_002113845	SSU_1	4	Legionella longbeachae	Legionella longbeachae	F1157CHC
GCA_002113865	SSU_5:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	K66-45
GCA_002116695	SSU_1	1	Acidianus manzaensis	Acidianus manzaensis	YN-25
GCA_002116715	SSU_1:SSU_2:SSU_5:SSU_3:SSU_4	2:2:1:1:1	Escherichia coli	Escherichia coli	HB-Coli0
GCA_002116735	SSU_1:SSU_2	2:1	Marinobacter salarius	Marinobacter salarius	SMR5
GCA_002116755	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing-like/35049
GCA_002116775	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing-like/36918
GCA_002116795	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing-like/38774
GCA_002116815	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing/391
GCA_002116835	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing-like/50148
GCA_002116855	SSU_1	1	Mycobacterium tuberculosis	Mycobacterium tuberculosis	Beijing-like/1104
GCA_002116885	SSU_3:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	2:1:1:1:1:1:1	Klebsiella pneumoniae	Klebsiella pneumoniae	kp757
GCA_002116905	SSU_1	3	Rhizobacter gummiphilus	Rhizobacter gummiphilus	NS21
GCA_002116925	SSU_1:SSU_2	5:1	Acinetobacter baumannii	Acinetobacter baumannii	ab736
GCA_002116955	SSU_2:SSU_1:SSU_3	3:1:1	Lactobacillus plantarum	Lactobacillus plantarum	BLS41
GCA_002117005	SSU_1:SSU_2:SSU_3	1:1:1	Sedimentisphaera salicampi	Sedimentisphaera salicampi	ST-PulAB-D4
GCA_002117085	SSU_1	3	Nonlabens sediminis	Nonlabens sediminis	NBRC 100970
GCA_002117105	SSU_1	2	Oceanicoccus sagamiensis	Oceanicoccus sagamiensis	NBRC 107125
GCA_002117145	SSU_1	2	Candidatus Nucleicultrix amoebiphila FS5	Candidatus Nucleicultrix	FS5
GCA_002117165	SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	1:1:1:1:1:1:1:1:1	Bacillus velezensis	Bacillus velezensis	CBMB205
GCA_002117185	SSU_1	4	Leuconostoc mesenteroides subsp. mesenteroides	Leuconostoc mesenteroides	BD1710
GCA_002117205	SSU_2:SSU_4:SSU_1:SSU_3	6:3:1:1	Vibrio vulnificus	Vibrio vulnificus	FORC_036
GCA_002117225	SSU_3:SSU_1:SSU_2	3:1:1	Lactobacillus brevis	Lactobacillus brevis	TMW 1.2112
GCA_002117245	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	TMW 1.25
GCA_002117265	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	TMW 1.277
GCA_002117285	SSU_2:SSU_1:SSU_3:SSU_4	2:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	TMW 1.708
GCA_002117305	SSU_1:SSU_2:SSU_3:SSU_4	2:1:1:1	Lactobacillus plantarum	Lactobacillus plantarum	TMW 1.1623
GCA_002117325	SSU_3:SSU_1:SSU_2	3:1:1	Lactobacillus brevis	Lactobacillus brevis	TMW 1.2113
GCA_002117345	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus brevis	Lactobacillus brevis	TMW 1.2108
GCA_002117375	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus brevis	Lactobacillus brevis	TMW 1.2111
GCA_002117405	SSU_1	2	Methylocystis bryophila	Methylocystis bryophila	S285
GCA_002117425	SSU_1	2	Propionibacterium freudenreichii	Propionibacterium freudenreichii	P.UF1
GCA_002117445	SSU_1:SSU_2	5:1	Ketogulonicigenium robustum	Ketogulonicigenium robustum	SPU_B003
GCA_002117485	SSU_2:SSU_1	2:1	Rhizobium sp. NXC14	Rhizobium sp.	NXC14
GCA_002117725	SSU_1	3	Rhizobium sp. TAL182	Rhizobium sp.	TAL182
GCA_002117815	SSU_1	5	Methylorubrum zatmanii	Methylorubrum zatmanii	PSBB041
GCA_002117875	SSU_1	2	Xylella fastidiosa subsp. pauca	Xylella fastidiosa	De Donno
GCA_002118095	SSU_4:SSU_5:SSU_1:SSU_2:SSU_3	3:1:1:1:1	Escherichia coli	Escherichia coli	HST04
GCA_002119445	SSU_3:SSU_6:SSU_5:SSU_8:SSU_1:SSU_2:SSU_7:SSU_4	3:2:1:1:1:1:1:1	Bacillus thuringiensis	Bacillus thuringiensis	ATCC 10792
GCA_002119485	SSU_2:SSU_5:SSU_1:SSU_6:SSU_3:SSU_4	2:1:1:1:1:1	Salmonella enterica	Salmonella enterica	FORC_038
GCA_002119505	SSU_6:SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_7:SSU_4	2:2:1:1:1:1:1:1:1:1	Vibrio alginolyticus	Vibrio alginolyticus	K01M1
GCA_002119525	SSU_6:SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_7:SSU_3:SSU_4	4:3:1:1:1:1:1:1:1	Vibrio alginolyticus	Vibrio alginolyticus	K08M4
GCA_002119545	SSU_6:SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_7:SSU_4	2:2:1:1:1:1:1:1:1:1	Vibrio alginolyticus	Vibrio alginolyticus	K04M5
GCA_002119565	SSU_6:SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_7:SSU_4	2:2:1:1:1:1:1:1:1:1	Vibrio alginolyticus	Vibrio alginolyticus	K06K5
GCA_002119585	SSU_6:SSU_3:SSU_5:SSU_9:SSU_8:SSU_10:SSU_1:SSU_2:SSU_7:SSU_4	2:2:1:1:1:1:1:1:1:1	Vibrio alginolyticus	Vibrio alginolyticus	K10K4
GCA_002119605	SSU_1	3	Ruminococcaceae bacterium CPB6	Ruminococcaceae bacterium	CPB6
GCA_002119625	SSU_2:SSU_1:SSU_3:SSU_4	5:2:2:1	Geobacillus thermodenitrificans	Geobacillus thermodenitrificans	T12
GCA_002119645	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus fermentum	Lactobacillus fermentum	FTDC 8312
GCA_002119665	SSU_1	3	Bordetella genomosp. 13	Bordetella genomosp.	AU7206
GCA_002119685	SSU_1	3	Bordetella genomosp. 8	Bordetella genomosp.	AU19157
GCA_002119705	SSU_1	3	Bordetella genomosp. 6	Bordetella genomosp.	AU22978
GCA_002119725	SSU_1	3	Bordetella genomosp. 9	Bordetella genomosp.	AU17164
GCA_002119745	SSU_1	3	Bordetella genomosp. 9	Bordetella genomosp.	AU14267
GCA_002119765	SSU_1	1	Pseudorhodoplanes sinuspersici	Pseudorhodoplanes sinuspersici	RIPI110
GCA_002119805	SSU_1:SSU_2	4:1	Macrococcus canis	Macrococcus canis	KM45013
GCA_002119825	SSU_1:SSU_2	4:1	Macrococcus caseolyticus	Macrococcus caseolyticus	IMD0819
GCA_002119845	SSU_1:SSU_2	2:1	Rhizobium etli	Rhizobium etli	NXC12
GCA_002127985	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	685
GCA_002128005	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	E57
GCA_002128025	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	549
GCA_002128045	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	FL8
GCA_002128065	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	E16
GCA_002128085	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	RI3
GCA_002128105	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	1801
GCA_002128125	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	CO3
GCA_002128145	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	FL1
GCA_002128165	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	CO103
GCA_002128185	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	K27
GCA_002128205	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	1006
GCA_002128235	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	1134
GCA_002128265	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	519
GCA_002128285	SSU_1	1	Mycoplasma pneumoniae	Mycoplasma pneumoniae	GA3
GCA_002128305	SSU_1	5	Streptomyces sp. SCSIO 03032	Streptomyces sp.	SCSIO 03032
GCA_002128325	SSU_2:SSU_5:SSU_1:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1	Pseudomonas fragi	Pseudomonas fragi	NMC25
GCA_002128345	SSU_1	2	Oxalobacter formigenes OXCC13	Oxalobacter formigenes	OXCC13
GCA_002128365	SSU_3:SSU_1:SSU_2:SSU_4	3:2:1:1	Salmonella enterica subsp. enterica	Salmonella enterica	CFSAN033543
GCA_002128385	SSU_5:SSU_3:SSU_1:SSU_2:SSU_4	2:2:1:1:1	Salmonella enterica subsp. enterica	Salmonella enterica	CFSAN033541
GCA_002135175	SSU_1	1	Candidatus Spiroplasma holothuricola	Candidatus Spiroplasma	MT37
GCA_002138395	SSU_5:SSU_1:SSU_2:SSU_3:SSU_4	1:1:1:1:1	Lactobacillus brevis	Lactobacillus brevis	100D8
GCA_002138415	SSU_1:SSU_2	2:2	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	OUC_Est10
GCA_002139855	SSU_1:SSU_2	2:1	Campylobacter sp. RM6137	Campylobacter sp.	RM6137
GCA_002139875	SSU_1:SSU_2	2:1	Campylobacter sp. RM12175	Campylobacter sp.	RM12175
GCA_002139895	SSU_1	3	Campylobacter sp. RM8964	Campylobacter sp.	RM8964
GCA_002139915	SSU_1	3	Campylobacter sp. NCTC 13003	Campylobacter sp.	NCTC 13003
GCA_002139935	SSU_1	3	Campylobacter lanienae NCTC 13004	Campylobacter lanienae	NCTC 13004
GCA_002139955	SSU_1	2	Xanthomonas citri pv. citri	Xanthomonas citri	TX160149
GCA_002139975	SSU_1	2	Xanthomonas citri pv. citri	Xanthomonas citri	TX160042
GCA_002139995	SSU_1	2	Xanthomonas citri pv. citri	Xanthomonas citri	TX160197
GCA_002140035	SSU_1	1	Mycobacteroides abscessus subsp. massiliense	Mycobacteroides abscessus	FLAC047
GCA_002140055	SSU_2:SSU_1:SSU_6:SSU_5:SSU_8:SSU_7:SSU_3:SSU_4	3:2:2:1:1:1:1:1	Vibrio campbellii	Vibrio campbellii	20130629003S01
GCA_002140115	SSU_2:SSU_3:SSU_1:SSU_4	2:2:1:1	Staphylococcus aureus	Staphylococcus aureus	FORC_039
GCA_002142475	SSU_1	3	Leptolyngbya boryana IAM M-101	Leptolyngbya boryana	IAM M-101
GCA_002142495	SSU_1	3	Leptolyngbya boryana dg5	Leptolyngbya boryana	dg5
GCA_002142575	SSU_8:SSU_5:SSU_1:SSU_2:SSU_6:SSU_7:SSU_3:SSU_4	2:1:1:1:1:1:1:1	Lactobacillus delbrueckii subsp. delbrueckii	Lactobacillus delbrueckii	TUA4408L
GCA_002142595	SSU_3:SSU_5:SSU_9:SSU_8:SSU_1:SSU_2:SSU_6:SSU_7:SSU_4	2:1:1:1:1:1:1:1:1	Bacillus subtilis	Bacillus subtilis	TLO3
GCA_002142615	SSU_7:SSU_8:SSU_1:SSU_4:SSU_5:SSU_9:SSU_2:SSU_6:SSU_3	4:2:2:2:1:1:1:1:1	Photobacterium damselae subsp. damselae	Photobacterium damselae	KC-Na-1
